X	Y	SLOPE	ALOS_FILL	ASPECT	TOPOGRAPHIC	LS_FACTOR	DIRECT_INSO	CONVEXITY	WIND_EXPOSI	BUFFER	TEMP	COAST	PREC	MONTH
323444.5913	1240793.286	0.010	48.10	2.72	17.73	0.19	6.51	39.77	0.90	29753.14	25.53	18385.00	14.82	MAR
472553.2849	1052299.837	0.000	13.60	2.37	17.04	0.00	6.49	33.52	0.90	787.08	28.29	13342.00	36.61	MAR
498175.5272	1157356.824	0.036	56.00	1.08	10.70	0.49	6.48	40.07	0.94	451.60	25.83	62426.00	144.82	MAR
408630.6556	1102172.702	0.000	1.58	2.88	14.34	0.00	6.49	17.61	0.90	772.57	28.79	16031.00	6.52	MAR
465268.3692	1089171.235	0.124	984.19	5.36	9.46	2.61	6.62	45.88	1.12	577.36	21.30	42942.00	52.19	MAR
335985.2137	1200158.114	0.044	379.01	4.08	11.01	0.80	6.70	46.29	1.10	495.35	26.16	25495.00	13.99	MAR
483528.0309	1043077.361	0.013	39.25	3.81	11.27	0.15	6.49	28.46	0.96	701.28	28.30	8062.00	67.07	MAR
505481.9784	1102058.109	0.165	2050.98	4.56	9.69	4.31	7.27	50.18	1.17	649.77	18.48	70774.00	22.14	MAR
521966.8474	1035707.211	0.215	1136.92	2.33	7.91	4.54	7.09	46.97	1.17	138.17	23.78	22627.00	58.88	MAR
476242.3007	1098378.898	0.039	848.19	6.02	14.48	1.05	6.76	43.11	0.93	483.64	23.64	56754.00	18.21	MAR
490862.4409	1098372.295	0.015	1154.24	4.86	12.34	0.21	6.97	44.68	0.98	533.17	20.60	62968.00	11.89	MAR
481717.5132	1083629.565	0.123	1032.62	4.05	11.52	4.21	6.86	47.27	0.95	444.75	21.24	45880.00	46.33	MAR
483555.7222	1105747.986	0.027	1076.65	4.40	12.93	0.54	6.96	44.57	0.99	485.81	22.00	65460.00	22.00	MAR
479921.1923	1140772.626	0.049	453.24	1.29	10.97	0.90	6.64	44.89	1.02	193.84	23.33	81345.00	153.23	MAR
423258.3138	1105825.655	0.082	160.71	3.31	10.86	1.89	6.71	40.27	1.00	260.40	28.93	19925.00	7.81	MAR
611835.7466	976871.4804	0.053	940.41	5.95	9.18	0.79	6.78	47.72	1.09	362.06	22.57	62241.00	103.43	MAR
