"","num.month","DELTA.MAE.idw3","DELTA.RMSE.idw3","DELTA.R2.idw3","DELTA.MAE.cubist","DELTA.RMSE.cubist","DELTA.R2.cubist","DELTA.MAE.ok","DELTA.RMSE.ok","DELTA.R2.ok","DELTA.MAE.ked","DELTA.RMSE.ked","DELTA.R2.ked","DELTA.MAE.rf","DELTA.RMSE.rf","DELTA.R2.rf","R2.RF.train","error.RF.train","num.kf"
"59",11,1.89312797704042,2.29864200741256,0.2053,0.447448047002156,0.506851970449345,0.9464,1.05121947372577,1.24520742990997,0.762,0.436731992427255,0.510539908219356,0.9409,0.767280666666674,0.885769376938922,0.8473,0.873902868911344,2.22920826195478,5
"60",12,2.12310723302541,2.54395184440101,0.1643,0.541531505584718,0.672356145668016,0.9182,1.21567677575694,1.44174526196969,0.6845,0.645360759080935,0.762238467760247,0.8923,0.930221754166653,1.09326225782665,0.8118,0.889036449589902,2.20260044664568,5
"61",1,2.83612868515858,3.17109663861477,0.3858,0.480406414213635,0.557344655515933,0.9801,1.66516743170414,2.34135123691625,0.6207,0.270537584363537,0.291986611148054,0.9945,0.738234153968247,0.947751106156292,0.9699,0.862960159002708,2.79883366012666,6
"62",2,2.85070148809261,3.17300752019559,0.4142,0.411939134143649,0.454530699935727,0.9878,1.67248178484832,2.35822062500558,0.6329,1.24586339696175,1.71570077038822,0.8955,0.877936857142853,1.05803314276582,0.9699,0.810181228435627,4.0937709425398,6
"63",3,3.18508187059058,3.47188920580802,0.3745,0.730844737461635,0.948871258028516,0.9601,2.1170291614464,2.8273526203669,0.5408,0.796953618562514,0.967077340294005,0.9671,1.18906381904761,1.33778789914874,0.9394,0.849707305348186,3.31484202609152,6
"64",4,2.90466570955808,3.26075845419515,0.3363,0.551872823806036,0.695497297558991,0.97,2.1719696386606,2.8384392636148,0.4519,0.383737013686832,0.491292562061876,0.983,0.874052777777775,1.15058646464592,0.9462,0.835639964994801,3.51128353735862,6
"65",5,3.07586238230586,3.42197462078193,0.1897,1.34493790036156,2.3412438974123,0.6618,2.91468663047671,3.52555944450929,0.1772,1.26346832419261,2.6731826074778,0.5615,1.48817284126985,2.27823774507233,0.7182,0.870396693576998,2.28868788779004,6
"66",6,2.87802838025282,3.27245309151773,0.2582,0.606547510056269,0.705664650908665,0.9643,2.17105129856788,2.71177127854912,0.4021,0.315643227292707,0.350717675566025,0.989,0.971331006349211,1.20050746484327,0.9116,0.870170478147248,2.16494089120711,6
"67",7,2.92840420040346,3.3214936083284,0.2494,0.685030750093007,0.76037221769453,0.9615,2.22847473484665,2.79232853630487,0.383,0.420199891265684,0.488554622627469,0.9799,0.895818679999996,1.1427746852695,0.9217,0.855293513363512,2.57775598582344,6
"68",8,2.63970659820555,3.03683934990167,0.3032,0.645702296665737,0.833961663159806,0.9693,1.63511554817867,2.10406311658572,0.7088,0.72669367470049,1.10711750979496,0.8933,1.12532233333335,1.35257942368556,0.9076,0.798099541351176,3.48048797961644,6
"69",9,3.07746072211254,3.49376794350644,0.2282,0.609746126447405,0.750622981165896,0.961,2.40195261047467,3.06400698674409,0.3385,0.389026266076938,0.512554252848637,0.9821,0.975205253968263,1.2013846245195,0.912,0.835869402023638,2.8891016390799,6
"70",10,2.99186262781682,3.37739980632192,0.2414,0.671591742379324,0.843741891494684,0.9513,2.31786351921509,2.81145713098911,0.3876,0.367499641007531,0.445324685030906,0.9862,1.07949058730158,1.37875552316895,0.8857,0.873122173039388,2.02802028359724,6
"71",11,2.8734150037458,3.27363367022934,0.258,0.635916239420572,0.707026418918827,0.9604,2.19000237316801,2.79468152482067,0.3821,0.365735875682329,0.41412243330438,0.9844,1.02955242857143,1.23427713733212,0.8938,0.871707932069205,2.19422784326896,6
"72",12,2.82259934695286,3.16450353720228,0.3504,0.429221692766462,0.504526472760065,0.981,2.07495820939172,2.64019649051534,0.4834,0.284825611364207,0.311286064837117,0.9921,0.687634295238106,0.934343173155461,0.9563,0.857588180034471,2.75918693416026,6
"73",1,0.957706473364752,1.0876454709471,0.9163,0.424133321974012,0.515053304793112,0.9606,0.840706691894939,1.20421430758562,0.9047,0.621847184467726,0.74302121109904,0.9188,0.83334791296296,0.943547294327037,0.8542,0.875302277309417,2.62418984023294,7
"74",2,0.942795541203081,1.03653159863561,0.8987,0.430359208848741,0.523661579393863,0.9527,0.923750397913807,1.2293182553677,0.8638,0.804324780855851,0.948164662319826,0.841,0.703350351851861,0.773053406385368,0.8922,0.81887838438659,4.04196702929471,7
"75",3,0.874900224996622,0.928730824712245,0.8957,0.498430958218044,0.575519795314245,0.9361,0.799816573943782,1.02310660327402,0.9026,0.436812939177805,0.465858465592039,0.964,0.812584962962963,1.10099735850319,0.8246,0.845706411804654,3.54651221800339,7
"76",4,0.864114904044552,0.890217166541897,0.9002,0.628684569464789,0.84245973220888,0.8937,1.16375699123613,1.27795049881145,0.7737,0.447772194157764,0.479859118085589,0.9595,0.781519537037033,1.12959403018804,0.827,0.850349288730552,3.29828050387512,7
"77",5,0.980565248640431,1.03061326629204,0.928,0.493982370164658,0.559629642587371,0.9411,1.36376552550789,1.59918557550345,0.568,0.521675955918031,0.598674590743656,0.9367,0.662090518518511,0.755331841691515,0.8999,0.843760376971606,2.8650366148851,7
"78",6,1.00009531119665,1.05445422506809,0.9371,0.368402417500813,0.42807690359746,0.9724,1.28214004201588,1.48042282992282,0.6558,0.600753352235574,0.671189463467892,0.9216,0.435460788888883,0.471918886763353,0.9604,0.874601507328837,2.16104579365177,7
"79",7,0.945178658263692,0.984817357373377,0.9363,0.407347111172146,0.474601956386167,0.9559,1.2936312959296,1.51604806375425,0.5999,0.592752356019843,0.63587921107073,0.9226,0.499584124629623,0.551356576476912,0.9447,0.862223523791858,2.53439662504473,7
"80",8,0.73683355046552,0.779187510404005,0.9191,0.445015568203396,0.492252681113058,0.9579,1.08651331261929,1.39632754502147,0.5786,1.2813694947741,2.00883984095493,0.7856,0.44768707407407,0.499425176044997,0.9647,0.805109902307664,3.48616055845069,7
"81",9,1.01199700628299,1.14720336062342,0.9585,0.479658766852485,0.541960928605197,0.9629,1.27941380957524,1.46277451559326,0.7769,0.681279317296808,0.761618816734777,0.9122,0.487895166666664,0.577081498384375,0.9551,0.847868354516468,2.76817626688543,7
